"sample_size","p","q","rank","sigma","cov_scale","eta","maxit","iter","converged","hit_maxit","final_objective","final_truth_frob","minimax_rate_standard","ratio_standard","minimax_rate_covscale_adjusted","ratio_covscale_adjusted","window_rel_objective","window_rel_frob","eta_last","backtrack_total"
300,30,25,2,0.5,0.2,1,10000,3147,TRUE,FALSE,0.0801435966038548,5.89868033260357,0.302765035409749,19.4826999247801,1.51382517704874,3.89653998495603,2.99858597438308e-06,0.000183935374655499,1,0
400,30,25,2,0.5,0.2,1,10000,2028,TRUE,FALSE,0.100699772033032,5.16456323996245,0.262202212042538,19.6968713563888,1.31101106021269,3.93937427127776,2.995775515514e-06,0.000188944413744255,1,0
500,30,25,2,0.5,0.2,1,10000,2060,TRUE,FALSE,0.103265477102927,3.91088544508124,0.234520787991171,16.676071569521,1.17260393995585,3.33521431390421,2.99871666076491e-06,0.000194884848812552,1,0
700,30,25,2,0.5,0.2,1,10000,1390,TRUE,FALSE,0.105846644647115,3.15577866065182,0.198206241793023,15.921691628396,0.991031208965115,3.18433832567921,2.99942885768764e-06,0.000216669009632904,1,0
1000,30,25,2,0.5,0.2,1,10000,1442,TRUE,FALSE,0.115493285289801,2.33379894572293,0.16583123951777,14.0733371619818,0.82915619758885,2.81466743239635,2.99664435595233e-06,0.000220929606195003,1,0
1500,30,25,2,0.5,0.2,1,10000,1004,TRUE,FALSE,0.115159960449415,1.87723549283235,0.135400640077266,13.8643029439234,0.67700320038633,2.77286058878468,2.99954121782023e-06,0.000208755770547859,1,0
2000,30,25,2,0.5,0.2,1,10000,1165,TRUE,FALSE,0.122390893437238,1.71570913359967,0.117260393995586,14.6316166536526,0.58630196997793,2.9263233307305,2.99211504777562e-06,0.000219210563772206,1,0
