"iter","objective","rel_objective_change","step_frob","rel_step_frob","truth_frob","rel_truth_frob","truth_matrix_mse","eta_step","backtrack_count","backtrack_total","accepted_no_move","stop_condition","stop_streak","window_rel_objective","window_rel_frob","rank_1e8","rank_1e4","converged"
0,0.798843721496898,NA,NA,NA,20.7633098625192,2.79060613393925,0.574820048595981,NA,NA,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
1,0.770931275817974,0.0155168819533119,0.256708807304185,0.0117393425139268,20.6618070390298,2.7769640699467,0.5692136934908,2,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
2,0.749503033060498,0.0120999854991992,0.224020425695837,0.0102937126057437,20.5649310611484,2.76394385785637,0.563888519399713,2,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
3,0.731680363558877,0.010187275566161,0.204154862436589,0.00942353315151994,20.4709079195372,2.75130706933615,0.558744094733559,2,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
4,0.716228969125045,0.00892277510271942,0.190506633568953,0.00883211812756008,20.378583672162,2.73889861361582,0.553715563311076,2,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
5,0.702591929197127,0.00794593272415774,0.179812900963379,0.00837214303974159,20.2871353981144,2.7266078894401,0.548757150215236,2,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
6,0.690483027513681,0.00711203987038553,0.170588520658816,0.00797642918547345,20.1959618651916,2.7143540907003,0.543835834213698,2,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
7,0.679708689281876,0.00637352641608642,0.162275954300909,0.00761998353970249,20.1046427564166,2.70208072644477,0.538928880484181,2,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
8,0.670094937518911,0.00572346373172343,0.154771191179287,0.00729862865270901,20.0129195786416,2.68975305497917,0.534022600081568,2,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
9,0.66146651995586,0.00516642339858204,0.148142174184309,0.00701615342266468,19.9206775420944,2.67735564846258,0.529111191648139,2,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
10,0.653650435579649,0.00470432854489194,0.142461946405155,0.00677657845601188,19.8279209107388,2.66488907997526,0.524195263523349,2,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
