"iter","objective","rel_objective_change","step_frob","rel_step_frob","truth_frob","rel_truth_frob","truth_matrix_mse","eta_step","backtrack_count","backtrack_total","accepted_no_move","stop_condition","stop_streak","window_rel_objective","window_rel_frob","rank_1e8","rank_1e4","converged"
0,0.514253274722846,NA,NA,NA,14.7616639315334,1.98397992358858,0.290542296036712,NA,NA,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
1,0.487464701128589,0.0176909464496027,0.178104359884862,0.0100890159187961,14.7057606186094,1.97646647178412,0.288345860495793,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
2,0.471247530873928,0.0109025580522055,0.139707758714018,0.00793728849526772,14.6496660885698,1.9689273202401,0.286150288675457,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
3,0.460543074331696,0.00727576856891875,0.115156502538853,0.00656254832121453,14.592937992813,1.96130301693616,0.283938452349448,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
4,0.452805436749448,0.00529778115978406,0.0997983864473699,0.00570557312627608,14.5356113278072,1.95359826542675,0.281711995564103,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
5,0.446727330967103,0.00418370253070139,0.090289549131477,0.00517910950528962,14.4778809095259,1.94583924914094,0.279478714173885,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
6,0.44162542372693,0.00352651611051165,0.0843094984085547,0.00485258772442265,14.4199656800777,1.93805539408041,0.277247213619492,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
7,0.437134147489136,0.00311542524422404,0.0803754391832378,0.00464221048984874,14.3620568640819,1.93027240099322,0.275024903156162,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
8,0.433051411997985,0.00284088684294642,0.0776108179819308,0.00449824937531918,14.3043038355468,1.92251034587048,0.272817477626187,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
9,0.429260496967175,0.00264534475111694,0.0755240927243695,0.00439272493642701,14.246815599613,1.91478387909382,0.270629006305835,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
10,0.425690307890584,0.00249792748359554,0.0738465446407885,0.00431030081657643,14.1896676048142,1.90710314100901,0.268462222313486,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
11,0.42229495809391,0.00238154792655988,0.0724313895723534,0.00424258672184536,14.132909404198,1.8994747915869,0.266318837636359,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
12,0.419043104635487,0.00228634253388721,0.0711966861958571,0.00418489912230595,14.0765714467415,1.89190292319535,0.264199818260291,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
13,0.415912236150413,0.00220632373664071,0.0700946859349656,0.00413451470850764,14.0206705256381,1.88438979285357,0.262105602651331,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
14,0.412885504423284,0.00213765489827122,0.0690958284728769,0.00408975474884208,13.9652139215652,1.87693637909064,0.260036266500104,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
15,0.409949887738265,0.0020777456317792,0.0681804830697143,0.00404951088010365,13.9102024524565,1.86954279183753,0.257991643024435,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
