"iter","objective","rel_objective_change","step_frob","rel_step_frob","truth_frob","rel_truth_frob","truth_matrix_mse","eta_step","backtrack_count","backtrack_total","accepted_no_move","stop_condition","stop_streak","window_rel_objective","window_rel_frob","rank_1e8","rank_1e4","converged"
0,0.798843721496898,NA,NA,NA,20.7633098625192,2.79060613393925,0.574820048595981,NA,NA,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
1,0.78432946178607,0.00806866073877175,0.128496255975899,0.00587615819067264,20.7121849758461,2.78373490660162,0.571992808631551,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
2,0.77171614704247,0.00706893822790669,0.119883809386388,0.00549553846038587,20.6623563905376,2.77703790324676,0.569243962146119,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
3,0.760509548076263,0.00632527901544154,0.113109477881972,0.00519714426983595,20.6135561697128,2.77047911293477,0.566558263949209,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
4,0.750375789354741,0.00575615095788356,0.107682481006821,0.00495909520731557,20.5655729180351,2.76403012395639,0.563923719262692,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
5,0.741087747339383,0.00530631311964285,0.103234206794115,0.00476489365761727,20.5182354306662,2.75766792623879,0.561330646917659,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
6,0.732489974941519,0.00493816145165686,0.0994906247541689,0.00460223374486364,20.4714020051819,2.7513734748582,0.558771066743689,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
7,0.724475248527913,0.00462613148100746,0.0962510483380669,0.00446207802016348,20.4249534322761,2.7451307479846,0.55623829694753,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
8,0.716968620483956,0.00435299262796878,0.0933713612864913,0.00433792291563662,20.3787884061945,2.73892613004027,0.553726689205932,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
9,0.709916446744398,0.0041073399102486,0.0907507392556313,0.00422521343263013,20.3328205293951,2.73274800912361,0.551231454240788,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
10,0.70327879751251,0.0038818558909858,0.0883211739014057,0.00412087863790512,20.2869763552537,2.7265865139472,0.548748546184833,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
11,0.697024228759954,0.00367207574102931,0.0860392064665598,0.0040229630742783,20.2411940858858,2.72043333882388,0.54627458403,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
12,0.691126241201824,0.00347548812690787,0.0838793659458855,0.00393033249096923,20.195422657849,2.71428162078449,0.543806795105547,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
